ID	baseMean	log2FoldChange	padj	Label	Level
AC100814.1	8.5	-0.7	0.5469	-	NoDiff
RIMS1	37.8	-0.8	0.547	-	NoDiff
EMG1	429.7	-0.2	0.547	-	NoDiff
TK1	68	0.3	0.547	-	NoDiff
FRMPD4	52.3	-0.7	0.547	-	NoDiff
TMSB4XP6	69.8	1.7	0.547	-	NoDiff
AC007848.2	7.6	0.8	0.547	-	NoDiff
CNTLN	489.7	0.2	0.5471	-	NoDiff
RARB	276.2	0.4	0.5471	-	NoDiff
FKBP14	1136.7	0.1	0.5471	-	NoDiff
ZNF146	1070.3	0.1	0.5473	-	NoDiff
SMURF1	847.6	-0.1	0.5473	-	NoDiff
ECHDC2	870.4	0.2	0.5474	-	NoDiff
BOLA1	120.5	0.2	0.5474	-	NoDiff
C1orf174	350.2	-0.1	0.5475	-	NoDiff
PI16	109.6	1.5	0.5477	-	NoDiff
AXL	4688.3	-0.1	0.5477	-	NoDiff
CABCOCO1	36.1	0.6	0.5477	-	NoDiff
SIGIRR	170	-0.3	0.5477	-	NoDiff
GREB1	20.8	0.5	0.5477	-	NoDiff
TRPV1	141.9	-0.2	0.5477	-	NoDiff
CREM	236.9	0.1	0.5478	-	NoDiff
CALML4	14	-0.7	0.5478	-	NoDiff
GABPA	833.2	0.1	0.5478	-	NoDiff
AC005972.3	7.1	-0.8	0.5478	-	NoDiff
CCT2	1589.8	-0.1	0.5479	-	NoDiff
LINC02108	8.1	0.8	0.5481	-	NoDiff
BCL10	344.6	-0.1	0.5482	-	NoDiff
NIPAL1	6.8	-1.6	0.5485	-	NoDiff
MTERF1	160.6	-0.2	0.549	-	NoDiff
IL18BP	85.9	0.3	0.549	-	NoDiff
ENO1	14073.8	-0.3	0.5491	-	NoDiff
MT-ATP6	43587.1	-0.2	0.5491	-	NoDiff
AC233723.2	29.1	0.4	0.5493	-	NoDiff
BCHE	57.8	0.7	0.5494	-	NoDiff
FAXDC2	2090.7	-0.3	0.5494	-	NoDiff
TREX2	18.6	0.4	0.5494	-	NoDiff
FAF1	747.5	-0.1	0.5494	-	NoDiff
STRN4	1268.6	-0.1	0.5499	-	NoDiff
SLC1A1	624.6	-0.5	0.5499	-	NoDiff
CASP9	173.3	-0.2	0.5499	-	NoDiff
TIRAP	142.1	0.2	0.5499	-	NoDiff
EIF4ENIF1	554.8	-0.1	0.5499	-	NoDiff
EIF4G3	3350.9	0.2	0.55	-	NoDiff
FAM110B	426.8	0.2	0.5501	-	NoDiff
ADAT3	27.7	-0.5	0.5501	-	NoDiff
ATP6V1C2	37.9	-0.4	0.5503	-	NoDiff
TRIM7	27	-0.4	0.5503	-	NoDiff
ZNF362	655.5	0.1	0.5503	-	NoDiff
ADORA2B	91.3	0.4	0.5503	-	NoDiff
TMEM51-AS1	22.8	0.4	0.5503	-	NoDiff
AC087292.1	6.8	-1.9	0.5503	-	NoDiff
NATD1	1336.4	-0.2	0.5503	-	NoDiff
AL096870.1	748	0.1	0.5506	-	NoDiff
STON2	291.1	0.8	0.5506	-	NoDiff
RUVBL2	716.9	-0.1	0.5506	-	NoDiff
TOR3A	616.8	-0.2	0.5506	-	NoDiff
RNF5	373.2	0.1	0.5506	-	NoDiff
AC134312.5	37	0.6	0.5506	-	NoDiff
COX10	182.5	-0.2	0.5507	-	NoDiff
BMP1	2446.9	0	0.5507	-	NoDiff
FAM156B	86.2	0.7	0.5507	-	NoDiff
LRRC37B	176.2	0.1	0.5507	-	NoDiff
FMN1	1100.9	0.3	0.5507	-	NoDiff
WAC-AS1	414.3	-0.2	0.5507	-	NoDiff
AL139317.3	33.5	-0.4	0.5507	-	NoDiff
AC015914.1	7.7	-0.8	0.5507	-	NoDiff
AC138028.4	47.2	-0.3	0.5507	-	NoDiff
MRPL50	260.9	-0.1	0.5508	-	NoDiff
ASCC3	2054.9	0.1	0.5511	-	NoDiff
ZNF517	198.8	-0.2	0.5514	-	NoDiff
AL627309.3	6.3	-2	0.5514	-	NoDiff
KRT7	250.4	-0.9	0.5518	-	NoDiff
POU2F1	341.4	0.2	0.5519	-	NoDiff
FAM218A	10.9	0.8	0.5519	-	NoDiff
UBE2K	972.1	-0.1	0.5524	-	NoDiff
SLC13A3	91	-0.3	0.5524	-	NoDiff
LINC01128	348.6	-0.2	0.5524	-	NoDiff
SLC9A3R1	228.8	-0.2	0.5525	-	NoDiff
HS3ST3A1	147.5	-0.3	0.5525	-	NoDiff
TP53I11	4335.4	-0.2	0.5525	-	NoDiff
AC145098.2	52.7	-0.4	0.5525	-	NoDiff
RBX1	618	-0.2	0.5527	-	NoDiff
AL022393.1	7	-0.7	0.5527	-	NoDiff
MAP4K2	243	-0.2	0.5529	-	NoDiff
GPR135	93.4	-0.3	0.5529	-	NoDiff
AC027808.2	54.9	-0.5	0.5529	-	NoDiff
POLE3	475.1	-0.1	0.5533	-	NoDiff
PVR	1602.6	0.4	0.5535	-	NoDiff
PARP8	327.9	0.2	0.5535	-	NoDiff
SUCLG1	750.4	0.1	0.5535	-	NoDiff
SHANK3	67.2	0.4	0.5535	-	NoDiff
AC004825.2	8.3	-0.6	0.5535	-	NoDiff
RSAD1	432.6	0.2	0.5536	-	NoDiff
HEXIM1	1120.1	-0.2	0.5536	-	NoDiff
DNAJC16	621	-0.2	0.5537	-	NoDiff
AP002840.2	13.3	0.6	0.5541	-	NoDiff
OR2W3	7.3	0.8	0.5543	-	NoDiff
MRPL28	573.6	0.1	0.5544	-	NoDiff
CCT6P1	34.8	-0.3	0.5544	-	NoDiff
AC009120.1	10.3	0.6	0.5544	-	NoDiff
FP565260.6	109.5	-0.3	0.5544	-	NoDiff
MDP1	84.8	-0.3	0.5546	-	NoDiff
COLCA2	9.4	0.8	0.5546	-	NoDiff
CEP120	486.6	0.1	0.5548	-	NoDiff
DUS4L	68.6	0.2	0.5549	-	NoDiff
ZNF300	131.7	0.4	0.5549	-	NoDiff
SWI5	295	0.1	0.5549	-	NoDiff
C1QBP	615.4	-0.1	0.555	-	NoDiff
C3orf14	120.1	-0.2	0.555	-	NoDiff
SLIT2	1244.5	-0.2	0.555	-	NoDiff
RARG	1317.1	0.2	0.555	-	NoDiff
PIWIL2	6.2	-0.9	0.5553	-	NoDiff
AC108471.2	8.7	0.6	0.5555	-	NoDiff
NAA60	632.8	0.1	0.5556	-	NoDiff
MXI1	1590.6	-0.1	0.5559	-	NoDiff
RASA1	1418.9	0.1	0.5559	-	NoDiff
AC009093.8	34.9	0.5	0.5559	-	NoDiff
AP000812.5	8.9	1.5	0.5559	-	NoDiff
SLC29A2	16.1	0.6	0.556	-	NoDiff
ADAMTS7P1	14.4	-1.2	0.556	-	NoDiff
DSN1	183.7	0.2	0.5561	-	NoDiff
RFNG	786.2	-0.1	0.5561	-	NoDiff
RING1	819.4	0.1	0.5561	-	NoDiff
AC099850.3	8.3	-0.6	0.5561	-	NoDiff
AC135050.7	7.3	-0.8	0.5561	-	NoDiff
TMEM216	162.1	0.2	0.5563	-	NoDiff
DLGAP1-AS1	88.5	-0.3	0.5567	-	NoDiff
MGP	3449.7	-0.7	0.5568	-	NoDiff
KHDRBS1	1947.6	0.1	0.5568	-	NoDiff
C11orf65	11.3	0.8	0.5568	-	NoDiff
FAM217B	336.1	0.1	0.5568	-	NoDiff
AC020916.1	236.4	-0.2	0.5568	-	NoDiff
CNDP2	958.8	-0.1	0.5571	-	NoDiff
FAHD2A	355.5	0.1	0.5573	-	NoDiff
CDPF1	120.5	0.2	0.5573	-	NoDiff
KANTR	124.9	0.2	0.5573	-	NoDiff
KIFC1	23.2	0.4	0.5573	-	NoDiff
TRMT13	257.4	0.2	0.5579	-	NoDiff
MRPL53	287	0.1	0.5579	-	NoDiff
RPAP3	338.1	0.3	0.5583	-	NoDiff
AC008393.1	25.3	-0.4	0.5584	-	NoDiff
NLGN2	1979.3	0.1	0.5586	-	NoDiff
AL451062.3	22.8	2.3	0.5586	-	NoDiff
IL17RD	827.3	0.7	0.5588	-	NoDiff
GUCY1A1	270	0.4	0.5588	-	NoDiff
BMI1	1189	-0.1	0.559	-	NoDiff
LINC00342	135.5	0.2	0.559	-	NoDiff
MAGI2-AS3	1594.1	-0.1	0.559	-	NoDiff
AC104836.1	7.6	-0.7	0.559	-	NoDiff
PHTF1	555.8	-0.2	0.5591	-	NoDiff
VASN	3818.2	0.2	0.5591	-	NoDiff
PHETA2	490.2	-0.2	0.5591	-	NoDiff
BBIP1	255.9	-0.2	0.5591	-	NoDiff
VPS25	517.8	-0.1	0.5592	-	NoDiff
ZNF616	252.3	0.1	0.5592	-	NoDiff
AL592429.2	6.7	-0.8	0.5592	-	NoDiff
AC009404.1	35.2	0.5	0.5592	-	NoDiff
USP13	437.5	-0.2	0.5597	-	NoDiff
LNX1	229.7	-0.3	0.5597	-	NoDiff
MYH7B	32.8	-0.3	0.5597	-	NoDiff
NPL	54.3	-0.4	0.5597	-	NoDiff
CDK15	109.7	0.4	0.5597	-	NoDiff
TREX1	104.8	0.3	0.5597	-	NoDiff
AC002398.1	7.1	-0.9	0.5597	-	NoDiff
SREK1	1640.3	0.1	0.5599	-	NoDiff
AK9	141.7	0.2	0.5602	-	NoDiff
PNPLA7	146.7	-0.3	0.5604	-	NoDiff
NOTCH2	10164.8	-0.1	0.5604	-	NoDiff
AC007383.3	14.8	-1	0.5605	-	NoDiff
GPCPD1	324.4	0.3	0.5606	-	NoDiff
SIX1	469.5	0.2	0.5606	-	NoDiff
RAN	2890.9	-0.1	0.5606	-	NoDiff
CLPB	204.7	0.2	0.5606	-	NoDiff
WDR41	558.8	0.1	0.5606	-	NoDiff
TECPR1	773.3	-0.2	0.5606	-	NoDiff
AL645922.1	265.7	0.5	0.5606	-	NoDiff
AL138831.3	6.5	0.7	0.5606	-	NoDiff
AZIN1-AS1	34.7	0.3	0.5607	-	NoDiff
EXD2	446.7	-0.2	0.5609	-	NoDiff
TRMU	340.9	-0.2	0.5609	-	NoDiff
FERMT1	52.9	0.4	0.5609	-	NoDiff
RPLP0P6	8.9	-0.8	0.5609	-	NoDiff
AL583722.1	13.8	0.5	0.5609	-	NoDiff
LINC00519	8.5	0.6	0.5609	-	NoDiff
AC012254.3	7.4	-0.7	0.5609	-	NoDiff
CD36	42.9	-0.5	0.561	-	NoDiff
EPHA2	64.3	0.5	0.561	-	NoDiff
CYB561D1	457.1	-0.1	0.561	-	NoDiff
CYP2R1	151	0.2	0.561	-	NoDiff
ZNF611	126	0.2	0.561	-	NoDiff
TAC3	8.4	0.7	0.5612	-	NoDiff
KANSL1L	402.6	-0.1	0.5613	-	NoDiff
DLSTP1	9.9	0.5	0.5613	-	NoDiff
ZNF677	256.7	0.2	0.5613	-	NoDiff
AC009283.1	41.1	0.3	0.5613	-	NoDiff
THAP9	69	0.3	0.5614	-	NoDiff
GOLGA2P5	41.6	0.4	0.5614	-	NoDiff
CEP68	839.2	-0.1	0.5615	-	NoDiff
GRHL1	51.6	0.4	0.5619	-	NoDiff
UBE2G2	1518.4	-0.1	0.5619	-	NoDiff
EVI2B	23.9	0.7	0.5619	-	NoDiff
BX322234.1	17.4	0.5	0.5619	-	NoDiff
RBM26-AS1	33.3	0.5	0.5619	-	NoDiff
LINC00926	31	-0.4	0.5619	-	NoDiff
AC008429.1	19.8	0.4	0.562	-	NoDiff
PLS3	7219.6	-0.2	0.5622	-	NoDiff
ARFIP2	675.3	0.1	0.5622	-	NoDiff
LVRN	19.2	0.8	0.5622	-	NoDiff
C17orf82	17.4	0.5	0.5622	-	NoDiff
AC091551.1	9.8	0.6	0.5622	-	NoDiff
DYNLRB1	1424.5	-0.1	0.5625	-	NoDiff
AC026470.1	831.5	0.2	0.5626	-	NoDiff
PTCD3	937.1	0.1	0.5627	-	NoDiff
BRWD3	456.8	0.2	0.5627	-	NoDiff
AC129510.1	11.4	0.5	0.5627	-	NoDiff
ZNF624	95.7	0.3	0.5629	-	NoDiff
CCDC188	6.8	-0.7	0.5629	-	NoDiff
GVINP1	11.8	-0.7	0.5629	-	NoDiff
AC073548.1	26.4	-0.4	0.5629	-	NoDiff
CYREN	573.3	-0.3	0.563	-	NoDiff
TSPAN9	3560	-0.2	0.5633	-	NoDiff
ZSCAN22	102.7	0.2	0.5633	-	NoDiff
AC017116.1	10.7	-0.9	0.5634	-	NoDiff
GPR132	8.1	0.8	0.5636	-	NoDiff
DNAL1	250.8	-0.2	0.5637	-	NoDiff
GPR1	355.9	-0.3	0.5637	-	NoDiff
EPB41L1	1361.5	0.2	0.5641	-	NoDiff
TCF12	2890	0.1	0.5641	-	NoDiff
TEDC2	10.5	0.7	0.5641	-	NoDiff
AC008736.1	6.9	0.6	0.5641	-	NoDiff
AC007728.2	18.9	-0.5	0.5641	-	NoDiff
AP001160.3	11.9	0.5	0.5643	-	NoDiff
LGI4	27.7	0.4	0.5654	-	NoDiff
APC2	64.5	-0.2	0.5656	-	NoDiff
AC145285.6	6.4	0.8	0.5656	-	NoDiff
PCDHB15	23.6	0.4	0.5658	-	NoDiff
RHOBTB1	767.1	-0.1	0.566	-	NoDiff
CDC14A	63.8	0.3	0.566	-	NoDiff
DDX43	23.5	0.8	0.566	-	NoDiff
FER1L4	133.1	-0.4	0.566	-	NoDiff
WASHC2A	4994.5	-0.1	0.566	-	NoDiff
PRPF19	1296.3	0.1	0.566	-	NoDiff
PITPNM1	670.7	-0.2	0.566	-	NoDiff
CHRNA10	7.5	-0.7	0.566	-	NoDiff
KIF5A	42.6	0.3	0.566	-	NoDiff
ANKRD61	6.8	0.8	0.566	-	NoDiff
ZNF496	728.9	0.1	0.566	-	NoDiff
HLA-H	679.8	0.3	0.566	-	NoDiff
AL512353.1	7.6	0.6	0.566	-	NoDiff
LINC01637	11.4	-0.6	0.566	-	NoDiff
HIBADH	1369.5	0.1	0.5663	-	NoDiff
OR1D2	7.2	0.7	0.5663	-	NoDiff
LINC00475	28	0.6	0.5663	-	NoDiff
GTF2IP4	5927.5	-0.2	0.5663	-	NoDiff
HSPH1	1255.7	0.1	0.5664	-	NoDiff
RNFT2	12.2	0.5	0.5664	-	NoDiff
PIGF	452.7	-0.1	0.5664	-	NoDiff
SESTD1	1338.9	0.2	0.5664	-	NoDiff
MFSD11	416.3	0.2	0.5665	-	NoDiff
CLPP	468.9	-0.1	0.5665	-	NoDiff
PWP1	896.4	-0.1	0.5665	-	NoDiff
MRPL1	195.9	0.1	0.5665	-	NoDiff
SORL1	17.2	0.5	0.5668	-	NoDiff
VLDLR	1673.2	0.3	0.5668	-	NoDiff
EEF1AKMT1	114.9	0.2	0.5668	-	NoDiff
NACC1	1076.7	-0.1	0.5668	-	NoDiff
FP671120.5	25.6	-0.8	0.5668	-	NoDiff
TOMM5	544.2	-0.1	0.5669	-	NoDiff
METTL21A	264.9	0.1	0.5671	-	NoDiff
EXOSC7	427	-0.1	0.5672	-	NoDiff
MYEF2	245	0.2	0.5672	-	NoDiff
ERLIN1	1658.1	0	0.5672	-	NoDiff
LINC01873	106.4	0.2	0.5672	-	NoDiff
AC008267.5	15.9	0.5	0.5672	-	NoDiff
SUSD1	499	-0.1	0.5674	-	NoDiff
GNPTAB	3210.7	0.2	0.5674	-	NoDiff
SUDS3	736.2	0.1	0.5674	-	NoDiff
MARK1	64.5	-0.8	0.5674	-	NoDiff
EIF2S3	2358.7	0.1	0.5674	-	NoDiff
ZNF222	64.1	0.3	0.5674	-	NoDiff
CNP	2396.9	-0.1	0.5674	-	NoDiff
FAM91A1	1350.8	0.1	0.5674	-	NoDiff
RUNDC1	301.9	-0.1	0.5674	-	NoDiff
NPIPB5	576.2	-0.1	0.5674	-	NoDiff
MED29	1331.8	0.1	0.5678	-	NoDiff
FBXO21	1027.5	0.1	0.5678	-	NoDiff
BORA	61.2	-0.2	0.5678	-	NoDiff
PSMG3	141.4	-0.1	0.5678	-	NoDiff
C22orf46	835.7	0.1	0.5678	-	NoDiff
DDX60	457.9	0.1	0.5682	-	NoDiff
RTN3	3526.4	-0.1	0.5684	-	NoDiff
NOL8	815.7	0.1	0.5684	-	NoDiff
RBM18	471.8	-0.2	0.5685	-	NoDiff
SF3B2	4296.5	0	0.5689	-	NoDiff
GTF3C3	673.7	0.2	0.5689	-	NoDiff
GNAZ	12.2	-0.6	0.5689	-	NoDiff
CDHR3	72.2	0.4	0.5689	-	NoDiff
CYP2A6	9.8	0.7	0.5689	-	NoDiff
C6orf47	355.2	-0.1	0.5691	-	NoDiff
GPR39	16.5	-0.5	0.5693	-	NoDiff
AC025884.2	16	0.6	0.5693	-	NoDiff
MIR4453HG	36.9	0.3	0.5693	-	NoDiff
FSD1L	126.7	-0.2	0.5694	-	NoDiff
RNF19A	846.4	-0.2	0.5695	-	NoDiff
CCT7	2435.4	-0.1	0.5695	-	NoDiff
MED22	737.7	0.1	0.5695	-	NoDiff
PITRM1	1643.4	-0.1	0.5696	-	NoDiff
CCNG1	5112.7	0.1	0.5696	-	NoDiff
KCTD1	257.7	-0.2	0.5696	-	NoDiff
RABGGTB	493.3	-0.1	0.5696	-	NoDiff
CENPC	326	0.2	0.5696	-	NoDiff
SFRP2	53.6	1.4	0.5696	-	NoDiff
MED11	157.8	0.1	0.5696	-	NoDiff
JMJD1C	1504.6	0.1	0.5696	-	NoDiff
IFNE	13.9	0.5	0.5696	-	NoDiff
SPIN3	325.2	0.1	0.5696	-	NoDiff
BX322562.1	9.4	0.5	0.5696	-	NoDiff
COX7B	853.3	0.2	0.5699	-	NoDiff
SHANK1	108.4	0.4	0.5699	-	NoDiff
SMG1P3	164.8	-0.3	0.5699	-	NoDiff
CCDC152	641.7	-0.3	0.5703	-	NoDiff
RPL23AP7	265.9	0.1	0.5703	-	NoDiff
CRX	11.7	0.5	0.5707	-	NoDiff
BEND3P3	65	-0.2	0.5707	-	NoDiff
RIC8B	281.4	-0.1	0.571	-	NoDiff
AGRN	1983.7	0.2	0.571	-	NoDiff
Z99774.1	7.2	0.7	0.5712	-	NoDiff
KDM1B	629.3	0.1	0.5713	-	NoDiff
CPNE1	1792.3	0.1	0.5716	-	NoDiff
MICA	383.2	0.3	0.5717	-	NoDiff
ZNF252P-AS1	9.9	0.6	0.5717	-	NoDiff
MYLK	19703.3	-0.1	0.5718	-	NoDiff
INTS2	257.9	-0.1	0.5718	-	NoDiff
YWHAE	6565	-0.1	0.5718	-	NoDiff
PGS1	706.5	-0.1	0.5721	-	NoDiff
HYOU1	2011.6	-0.2	0.5721	-	NoDiff
ZFR	2978.3	-0.1	0.5729	-	NoDiff
BNIP3L	8414.5	-0.2	0.5729	-	NoDiff
SLC43A2	249	0.3	0.5729	-	NoDiff
CLTA	2242.9	0.1	0.5736	-	NoDiff
MKRN1	2047	-0.1	0.5736	-	NoDiff
LY6K	11.9	0.5	0.5744	-	NoDiff
AC141586.1	94.6	0.3	0.5744	-	NoDiff
CEP78	308.2	0.1	0.5746	-	NoDiff
MIEF2	158.3	0.2	0.5746	-	NoDiff
GLDN	864.4	0.4	0.5746	-	NoDiff
MIR137HG	42.8	-0.4	0.5746	-	NoDiff
RTN4	16107.6	-0.1	0.5747	-	NoDiff
NME4	1535.8	0.1	0.5752	-	NoDiff
SHQ1	358.2	0.2	0.5752	-	NoDiff
AC004923.4	6.5	-0.8	0.5752	-	NoDiff
AC006449.6	26.2	-0.5	0.5752	-	NoDiff
ZBTB24	228.3	-0.1	0.5753	-	NoDiff
STAG3L4	90.8	0.3	0.5755	-	NoDiff
ZNF316	475.9	0.1	0.5755	-	NoDiff
GLB1L	230	0.3	0.5756	-	NoDiff
SPCS1	1190.8	-0.1	0.5757	-	NoDiff
ATP5PF	896.2	-0.1	0.5757	-	NoDiff
HOOK3	1458.1	-0.3	0.5757	-	NoDiff
TLR6	38.6	0.4	0.5757	-	NoDiff
CD151	9920.5	-0.1	0.5757	-	NoDiff
ZNF493	141.8	0.2	0.5757	-	NoDiff
TPI1P2	7.9	0.6	0.5757	-	NoDiff
WFDC21P	60.5	0.7	0.5757	-	NoDiff
SNRPB2	586.4	-0.1	0.5758	-	NoDiff
MITF	1333.6	-0.1	0.5758	-	NoDiff
RCC1L	872.5	-0.1	0.5758	-	NoDiff
ELAC2	917.4	-0.1	0.5759	-	NoDiff
CHST11	113	-0.3	0.5759	-	NoDiff
SSH3	838.7	-0.1	0.5759	-	NoDiff
YTHDF2	1353.7	-0.1	0.5759	-	NoDiff
AL008729.1	10	0.6	0.5759	-	NoDiff
AC048382.2	50.6	0.3	0.5759	-	NoDiff
ESF1	407.9	-0.1	0.576	-	NoDiff
PITPNM3	31	0.4	0.576	-	NoDiff
CSNK2A1	1910.2	0.1	0.576	-	NoDiff
ZBTB37	443.4	0.2	0.576	-	NoDiff
PSG1	135.9	1.1	0.576	-	NoDiff
SURF6	590.1	-0.1	0.5762	-	NoDiff
AF127577.4	155.7	0.1	0.5763	-	NoDiff
AC040162.3	14.1	-0.5	0.5767	-	NoDiff
BAK1	180.1	-0.1	0.5771	-	NoDiff
VSIR	4698.3	-0.3	0.5771	-	NoDiff
IAH1	747.2	-0.1	0.5771	-	NoDiff
HDGFL3	1245.4	0.2	0.5771	-	NoDiff
CA5A	12.2	-0.6	0.5771	-	NoDiff
TAFA2	20.6	-0.5	0.5771	-	NoDiff
AL603840.1	152.8	-0.2	0.5771	-	NoDiff
TIMP2	56405.4	-0.1	0.5772	-	NoDiff
CCZ1	1008.1	-0.2	0.5772	-	NoDiff
ILF2	1470.1	0.1	0.5772	-	NoDiff
AC046185.3	8.9	0.6	0.5772	-	NoDiff
MTCH1	4086.4	0	0.5778	-	NoDiff
RF00017	6.5	0.8	0.578	-	NoDiff
AC133552.2	9.7	0.6	0.5782	-	NoDiff
GALC	667.9	-0.1	0.5784	-	NoDiff
FMO2	2410.4	-0.6	0.5784	-	NoDiff
ARHGEF7	1428.2	-0.1	0.5784	-	NoDiff
EML4	961.3	0.2	0.5786	-	NoDiff
AC016596.1	10.9	0.5	0.5787	-	NoDiff
CTSZ	2192.4	-0.1	0.5789	-	NoDiff
BACE1-AS	188.6	0.2	0.5789	-	NoDiff
SHF	115.9	0.4	0.5792	-	NoDiff
AMD1	533.4	-0.1	0.5794	-	NoDiff
NFIC	4276.7	-0.1	0.5794	-	NoDiff
SEC24D	2593.1	0.1	0.5799	-	NoDiff
NTAN1P2	8.4	0.6	0.5801	-	NoDiff
AC116366.3	203.7	0.5	0.5801	-	NoDiff
KCNB1	133.7	0.5	0.5803	-	NoDiff
HSPA1B	1990.5	0.1	0.5806	-	NoDiff
NTN3	9.6	0.6	0.581	-	NoDiff
GPS2	704.3	-0.1	0.5811	-	NoDiff
PTGES3L-AARSD1	7.2	-1	0.5813	-	NoDiff
KDM6A	421.6	0.2	0.5813	-	NoDiff
HID1	11.1	-0.7	0.5813	-	NoDiff
ZNF524	118.8	0.2	0.5813	-	NoDiff
UBQLN2	1153.9	0	0.5813	-	NoDiff
FBLL1	11	1.1	0.5813	-	NoDiff
SPECC1L-ADORA2A	29.4	-0.5	0.5813	-	NoDiff
COA1	406.8	0.1	0.5814	-	NoDiff
SLC10A3	771.5	-0.1	0.5814	-	NoDiff
SETBP1	1365.4	0.1	0.5814	-	NoDiff
CDR2L	599.3	-0.1	0.5815	-	NoDiff
SARAF	2892.2	0.1	0.5815	-	NoDiff
AC011912.1	8.1	0.6	0.5815	-	NoDiff
AL445524.1	28.8	0.3	0.5816	-	NoDiff
AL137186.2	98.1	-0.3	0.5817	-	NoDiff
AC006116.7	19.3	1.2	0.5817	-	NoDiff
COX15	605.3	0.1	0.5818	-	NoDiff
TRIM39	301.5	0.1	0.5818	-	NoDiff
STRADA	471.6	0.1	0.5818	-	NoDiff
AC060766.5	27.8	-0.5	0.5818	-	NoDiff
TMEM92	15.3	0.7	0.5822	-	NoDiff
DND1P1	6.3	1.1	0.5822	-	NoDiff
KEAP1	1570.1	-0.1	0.5823	-	NoDiff
AC099778.1	18.8	0.4	0.5824	-	NoDiff
PROX1	11.8	1	0.5826	-	NoDiff
TRAM1L1	71.1	0.2	0.5826	-	NoDiff
POLR2A	6661.8	-0.1	0.5826	-	NoDiff
MAPK6	904.7	0.1	0.5827	-	NoDiff
GTPBP1	933.9	-0.1	0.5827	-	NoDiff
IQCE	762.5	0.1	0.5827	-	NoDiff
DCAF8	2828.4	-0.1	0.5827	-	NoDiff
ZSCAN12	158.1	0.1	0.5827	-	NoDiff
CNTROB	524	0.2	0.5827	-	NoDiff
DNAJC28	22.7	0.4	0.5827	-	NoDiff
RPS27L	3139.6	-0.1	0.5827	-	NoDiff
DDO	22.7	0.6	0.5827	-	NoDiff
PDPK2P	99.5	0.4	0.5827	-	NoDiff
AC022007.1	29.6	0.4	0.5827	-	NoDiff
AC027601.2	23.7	-0.4	0.5827	-	NoDiff
AC091057.6	27.6	-0.4	0.5827	-	NoDiff
UHRF1BP1	375.5	0.1	0.583	-	NoDiff
SCUBE2	101.4	-0.6	0.583	-	NoDiff
ETS1	1042.2	-0.1	0.5832	-	NoDiff
SLC37A4	215.8	0.1	0.5832	-	NoDiff
ANXA5	24226.9	-0.1	0.5832	-	NoDiff
NPTN	2611.3	-0.1	0.5833	-	NoDiff
ARHGAP27	101.4	0.3	0.5833	-	NoDiff
AC025159.1	22.8	0.4	0.5833	-	NoDiff
WDR47	556.7	-0.1	0.5837	-	NoDiff
FNDC10	111.1	-0.4	0.5837	-	NoDiff
ZNF37BP	712.2	0.2	0.5837	-	NoDiff
EDNRB	647.6	-0.8	0.5839	-	NoDiff
C4A	897.5	0.4	0.584	-	NoDiff
KIF9	42.6	-0.3	0.5841	-	NoDiff
EIF5	4402.4	0.1	0.5841	-	NoDiff
LUC7L	671.7	0.1	0.5845	-	NoDiff
PPT1	928.3	-0.1	0.5845	-	NoDiff
MGAT4B	6374.4	-0.1	0.5845	-	NoDiff
NFKBIE	90.5	0.3	0.5846	-	NoDiff
SSPO	24.5	0.8	0.5846	-	NoDiff
AC090197.1	15.7	0.6	0.5846	-	NoDiff
IFIT5	517	-0.1	0.5847	-	NoDiff
BCL7B	637.1	-0.1	0.5851	-	NoDiff
ZNF141	130.6	0.2	0.5851	-	NoDiff
ZBTB8A	248.6	-0.2	0.5851	-	NoDiff
KCNH2	14.8	1.1	0.5854	-	NoDiff
ZKSCAN2	214.9	0.1	0.5855	-	NoDiff
EXD3	170.1	-0.2	0.5855	-	NoDiff
PPP3CB-AS1	88	0.2	0.5855	-	NoDiff
TMEM60	278.8	-0.2	0.5857	-	NoDiff
B2M	26572	0.1	0.5857	-	NoDiff
AC135050.1	15	-0.5	0.5857	-	NoDiff
LINC00987	14.1	1.1	0.5857	-	NoDiff
YEATS4	119.5	0.2	0.5858	-	NoDiff
AC090607.2	14.6	0.5	0.5858	-	NoDiff
TAS2R5	6.3	0.7	0.586	-	NoDiff
ZSCAN5A	55.9	0.2	0.586	-	NoDiff
B3GLCT	267.5	-0.3	0.586	-	NoDiff
HOMEZ	194.7	-0.1	0.586	-	NoDiff
AGAP6	250	-0.1	0.5861	-	NoDiff
C17orf51	516.7	0.3	0.5864	-	NoDiff
AC011379.2	17.9	-0.6	0.5864	-	NoDiff
PHF12	808.1	0.1	0.5865	-	NoDiff
MAX	1128.2	-0.1	0.5865	-	NoDiff
TIMM10B	458.6	-0.1	0.5865	-	NoDiff
NAGS	44.9	0.2	0.5865	-	NoDiff
AL359736.1	8	1.8	0.5865	-	NoDiff
AC006213.4	15.7	0.4	0.5865	-	NoDiff
AC009242.1	16.2	-0.4	0.5865	-	NoDiff
AC011365.2	10.5	-0.6	0.5869	-	NoDiff
FKBPL	76.1	0.2	0.5872	-	NoDiff
ITPR3	2521.3	-0.1	0.5873	-	NoDiff
OR56A4	6.3	0.7	0.5875	-	NoDiff
AC008397.2	15.2	0.5	0.5876	-	NoDiff
