OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_99	43	23	27	71	31	75	25	20	86	72	45	27	102	83	28	49	38	43
ASV_284	44	67	46	21	33	111	21	77	24	69	59	90	11	11	38	111	23	29
ASV_113	28	89	43	52	44	44	56	54	52	56	41	55	39	43	65	35	39	49
ASV_2325	47	55	49	39	13	43	62	84	53	48	49	51	54	41	63	36	36	60
ASV_105	38	15	34	54	260	49	6	126	1	41	26	21	4	8	26	24	45	72
ASV_193	39	73	27	53	16	26	60	68	46	57	50	37	27	72	55	74	28	79
ASV_103	49	52	13	68	52	127	23	31	39	36	50	40	63	47	49	41	45	34
ASV_108	53	22	48	42	63	41	25	39	49	95	83	70	29	37	36	50	45	41
ASV_621	39	21	45	20	31	45	27	121	153	81	57	21	31	43	44	48	10	30
ASV_107	64	50	48	65	48	72	49	32	36	32	51	56	28	30	56	50	43	41
ASV_658	40	27	15	22	5	11	95	72	85	73	63	43	41	53	70	56	27	60
ASV_111	40	50	33	15	28	25	56	38	37	62	49	59	33	68	68	59	57	67
ASV_874	40	49	58	65	46	61	35	26	45	41	46	46	36	36	31	70	66	46
ASV_150	49	44	41	45	33	56	38	31	38	42	47	50	44	42	66	58	47	56
ASV_122	42	72	32	34	17	41	62	65	64	49	39	60	48	35	42	45	35	53
ASV_112	27	16	11	12	10	10	70	40	98	99	59	33	59	83	60	76	35	29
ASV_116	6	31	7	6	423	10	17	17	10	19	18	11	53	18	24	2	70	18
ASV_115	35	93	11	83	5	58	5	12	1	5	23	461	1	16	19	1	4	19
ASV_352	31	68	30	33	17	36	48	77	61	39	35	70	42	38	69	33	27	54
ASV_119	37	28	53	27	12	20	68	51	50	35	58	44	35	67	54	75	63	40
ASV_125	11	106	45	70	11	24	45	70	27	47	71	18	24	71	57	23	6	58
ASV_126	46	41	38	36	26	37	39	73	47	39	34	58	36	17	60	42	43	64
ASV_118	45	45	31	36	33	94	38	23	32	75	34	72	27	40	30	26	66	16
ASV_120	46	73	82	66	48	71	22	24	33	23	28	33	22	23	42	43	32	20
ASV_129	21	24	87	51	54	43	27	44	24	33	56	31	21	32	33	31	69	67
ASV_708	41	59	32	37	19	58	56	49	45	35	46	52	30	23	52	34	37	33
ASV_123	54	50	33	46	48	55	33	16	38	25	43	40	29	40	46	37	43	31
ASV_127	37	63	27	53	38	43	31	26	22	41	42	29	37	52	42	65	39	36
ASV_137	46	47	65	57	45	38	36	31	34	18	35	26	28	30	40	43	37	32
ASV_135	21	64	18	37	4	58	39	65	33	51	44	40	68	26	36	22	32	51
ASV_971	41	41	53	39	23	39	28	32	58	34	28	19	60	29	31	31	57	61
ASV_124	48	24	103	23	11	22	47	16	26	31	54	32	38	36	53	47	26	58
ASV_121	46	34	34	24	9	37	64	42	39	47	54	74	34	31	39	19	44	41
ASV_133	50	42	34	60	33	41	31	22	38	36	36	52	40	32	46	30	33	38
ASV_140	39	35	50	41	65	58	37	27	22	31	46	17	19	38	34	31	42	36
ASV_156	48	69	58	25	49	63	56	23	24	30	41	43	15	21	32	27	32	32
ASV_128	38	36	31	25	13	35	59	35	39	35	41	53	31	43	53	36	35	47
ASV_132	5	19	183	55	18	43	52	23	35	20	14	3	23	39	29	13	13	34
ASV_142	40	43	34	23	13	41	68	31	42	41	47	36	17	28	51	22	32	68
ASV_206	18	18	53	234	31	27	21	17	14	14	28	18	11	27	19	28	32	28
ASV_141	80	55	58	67	56	72	5	19	16	33	17	10	28	36	19	18	23	24
ASV_130	26	64	14	44	7	110	24	6	21	46	18	21	10	17	87	16	12	101
ASV_154	30	71	14	47	33	34	28	40	22	35	29	50	51	37	29	61	11	23
ASV_153	30	31	88	16	15	20	44	36	38	35	38	36	24	43	39	56	20	26
ASV_461	19	25	16	110	38	60	52	24	19	37	19	27	15	27	41	47	6	25
ASV_163	24	42	23	27	13	21	42	46	37	36	42	64	45	29	36	28	30	33
ASV_964	20	41	61	20	19	15	33	32	43	29	41	29	36	50	39	27	34	39
ASV_162	40	40	52	42	12	36	65	25	38	35	34	52	26	11	38	18	20	26
ASV_157	29	16	77	26	58	22	16	62	19	27	47	18	7	13	14	39	70	33
ASV_145	8	34	20	56	74	24	16	26	11	32	27	15	28	20	35	37	66	55
ASV_1068	51	54	151	22	23	51	27	22	21	31	15	16	12	17	24	24	9	15
ASV_147	44	61	39	17	23	54	46	18	23	27	39	22	17	34	17	28	57	27
ASV_144	39	14	16	39	38	27	54	47	39	48	28	28	49	29	30	25	27	21
ASV_143	33	22	29	30	52	34	26	20	38	45	24	20	52	46	17	30	43	34
ASV_148	55	56	34	16	15	30	45	29	25	21	49	43	22	20	55	34	16	42
ASV_151	84	57	12	35	19	21	49	34	43	40	27	28	30	24	36	25	7	20
ASV_146	29	7	23	22	13	29	24	14	39	29	29	23	29	50	55	67	50	36
ASV_159	54	37	5	7	5	14	31	32	43	45	35	21	33	23	70	48	40	34
ASV_158	40	41	20	70	5	22	31	42	34	21	19	32	28	17	25	35	21	72
